Name,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Total
GRAYS TYRES & SERVICING TWICKENHAM,693,572,687,570,582,569,245,3918
Red Pepper Pizza,509,603,607,333,577,563,724,3916
The Dapper Fox Barbers,333,428,572,792,811,583,394,3913
Majestic Wine,274,384,536,804,737,747,431,3913
Kingston Area Cars,0,558,920,806,672,758,174,3888
Sufi's Kingston,517,551,534,586,589,604,493,3874
Edmundson Electrical,745,849,814,702,723,28,0,3861
CHATKA FRANKA Polski Sklep,524,526,654,660,639,518,340,3861
Simply Fresh,613,636,663,601,610,356,379,3858
The Albert,295,338,495,593,749,725,651,3846
D & M Tools,693,683,637,660,523,647,0,3843
Halfords Autocentre Teddington,755,472,850,722,579,464,0,3842
Westside Tennis Club,646,514,551,554,311,799,466,3841
Marks and Spencer,513,531,541,555,528,740,430,3838
The Little Gym Hampton & Teddington,576,612,347,661,613,544,466,3819
wilko,558,524,523,522,501,732,457,3817
Deluxe Pizza,468,522,490,458,555,646,670,3809
Nando's Richmond,520,384,421,438,555,757,734,3809
Love & Dye: Organic Hair Salon & Nail Bar,279,514,718,842,647,639,168,3807
Tapas Brindisa Richmond,416,323,480,500,614,899,571,3803
The Crown,358,370,390,479,641,835,729,3802
Mill Road Staines Road,472,465,498,502,535,845,483,3800
Protocol Education Kingston,867,716,794,777,643,0,0,3797
Maki & Bowl,489,654,633,541,486,557,429,3789
Boots,664,652,514,575,414,557,408,3784
Wimbledon Common Golf Club,553,694,561,666,583,717,0,3774
